Player,Group,Team,Matches,Inns,NO,Runs,4s,6s,50s,100s,HS,SR,Avg
Kaushik Ameer,B,Bonn CC,2,2,1,93,9,5,1,0,70,102.2,93
Ishara Umesh Ranaroll,B,Bonn CC,2,2,0,82,10,2,1,0,62,113.89,41
Prashant Bhat,B,Bonn CC,3,3,0,78,8,2,1,0,53,81.25,26
Kawsar Khan,B,Bonn CC,3,3,0,58,11,0,0,0,35,93.55,19.33
Nikhil Shinde,B,Bonn CC,3,2,0,56,3,1,0,0,34,70,28
Bryan Rattan,B,Bonn CC,2,2,0,54,7,2,1,0,53,90,27
Tuan Mohamed Dilshan Rajudeen,B,Bonn CC,2,2,0,34,6,0,0,0,24,103.03,17
Bipin Vishweswaraih Angadi,B,Bonn CC,2,2,1,30,3,0,0,0,18,35.71,30
Muhammad Baseer Asghar,B,Bonn CC,2,1,0,25,3,1,0,0,25,59.52,25
Shihan Samsudeen,B,Bonn CC,2,2,0,15,2,1,0,0,9,45.45,7.5
Pradyumna Heddur Nagendra,B,Bonn CC,2,1,0,4,0,0,0,0,4,15.38,4
Prateek Saxena,B,Bonn CC,1,1,0,3,0,0,0,0,3,37.5,3
Stephanus Johannes Herselman,B,Bonn CC,2,1,0,2,0,0,0,0,2,10,2
Ramesh Babu Chintha,B,Bonn CC,2,1,0,1,0,0,0,0,1,20,1
Bathiya Dias,B,Bonn CC,2,2,2,1,0,0,0,0,1,9.09,--
