Player,Group,Team,Matches,Inns,NO,Runs,4s,6s,50s,100s,HS,SR,Avg
Kaushik Ameer,C,Bonn CC Blue,3,3,1,100,6,9,1,0,59,151.52,50
Tuan Mohamed Dilshan Rajudeen,C,Bonn CC Blue,3,3,1,93,7,9,1,0,64,172.22,46.5
Manzil Samsudeen,D,Bonn CC Yellow,3,3,0,55,5,2,0,0,45,70.51,18.33
Amila De Zoysa,D,Bonn CC Yellow,2,2,0,51,5,0,0,0,26,72.86,25.5
Prashant Bhat,C,Bonn CC Blue,2,2,0,48,3,5,0,0,48,141.18,24
Nikhil Shinde,D,Bonn CC Yellow,2,2,0,35,0,1,0,0,26,71.43,17.5
Santhoshkumar Sundararaj,C,Bonn CC Blue,3,2,1,34,1,1,0,0,20,72.34,34
Prateek Saxena,D,Bonn CC Yellow,3,3,1,34,1,1,0,0,19,65.38,17
Chandu Ranwala Ranwala Arachchige,D,Bonn CC Yellow,4,4,1,22,2,0,0,0,17,75.86,7.33
Stephanus Johannes Herselman,D,Bonn CC Yellow,3,3,0,22,1,1,0,0,22,36.07,7.33
William Andrew Thorp Marriage,C,Bonn CC Blue,2,2,2,22,1,1,0,0,19,70.97,0
Pradyumna Heddur Nagendra,C,Bonn CC Blue,3,3,0,21,4,0,0,0,11,91.3,7
Ishara Umesh Ranaroll,C,Bonn CC Blue,3,3,0,21,2,1,0,0,16,65.62,7
Thamindu Dilshitha Pathiranage,D,Bonn CC Yellow,3,3,0,21,0,0,0,0,15,61.76,7
Kawsar Khan,C,Bonn CC Blue,2,2,0,19,3,0,0,0,18,90.48,9.5
Sajith Wickrama Surendra,D,Bonn CC Yellow,5,4,2,18,2,0,0,0,13,75,9
Bipin Vishweswaraih,D,Bonn CC Yellow,1,1,0,14,1,0,0,0,14,70,14
Shihan Samsudeen,C,Bonn CC Blue,2,2,0,15,2,1,0,0,14,115.38,7.5
Viprendra Joshi,D,Bonn CC Yellow,3,3,0,13,2,0,0,0,8,81.25,4.33
Muhammad Baseer Asghar,D,Bonn CC Yellow,3,3,0,13,1,0,0,0,9,65,4.33
Bathiya Dias,D,Bonn CC Yellow,4,1,0,8,1,0,0,0,8,61.54,8
Bipin Vishweswaraih Angadi,D,Bonn CC Yellow,1,1,0,8,0,0,0,0,8,32,8
Prasad Buwanekabahu,D,Bonn CC Yellow,4,3,0,6,0,0,0,0,3,31.58,2
Bryan Rattan,C,Bonn CC Blue,1,1,0,4,0,0,0,0,4,26.67,4
Senani Liyana Arachchige,D,Bonn CC Yellow,5,3,3,4,0,0,0,0,2,50,0
Rajveer Sharma,C,Bonn CC Blue,2,1,0,3,0,0,0,0,3,20,3
Vasanth Ramar,C,Bonn CC Blue,1,1,0,2,0,0,0,0,2,33.33,2
Roshan Azeez,D,Bonn CC Yellow,1,1,0,1,0,0,0,0,1,11.11,1
Bipin V,D,Bonn CC Yellow,1,1,1,1,0,0,0,0,1,50,0
